# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,96,20,-6,456,0,0,90
20000,1,82,10,-5,441,0,0,98
40000,2,80,17,-4,434,0,0,98
60000,3,83,17,-10,443,0,0,97
80000,4,82,18,-4,438,0,0,94
100000,5,82,15,-11,438,0,0,98
120000,6,82,16,-12,438,0,0,94
140000,7,82,17,-10,438,0,0,97
160000,8,85,17,-11,448,0,0,97
180000,9,84,17,-10,446,0,0,98
200000,10,85,20,-16,448,0,0,94
220000,11,85,19,-15,447,0,0,97
240000,12,90,21,-18,461,0,0,97
260000,13,85,21,-17,448,0,0,98
280000,14,80,17,-16,434,0,0,94
300000,15,80,20,-10,444,0,0,94
320000,16,82,20,-13,439,0,0,94
340000,17,79,18,-10,440,0,0,97
360000,18,86,19,-10,451,0,0,98
380000,19,86,18,-9,451,0,0,94
400000,20,87,20,-12,453,0,0,94
420000,21,83,17,-9,442,0,0,98
440000,22,86,17,-9,451,0,0,97
460000,23,87,18,-8,453,0,0,94
480000,24,83,14,-7,443,0,0,98
500000,25,90,15,-8,452,0,0,95
520000,26,83,15,-8,443,0,0,98
540000,27,86,18,-16,451,0,0,94
560000,28,83,18,-9,443,0,0,97
580000,29,86,19,-14,449,0,0,98
600000,30,82,17,-6,438,0,0,98
620000,31,0,18,0,0,0,0,0
