# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,101,24,0,462,95,6,95
23000,1,95,20,-10,454,105,8,95
45000,2,90,22,-20,457,182,58,95
68000,3,123,30,0,511,167,42,95
90000,4,130,29,-20,469,61,8,95
113000,5,121,31,-10,465,197,76,95
135000,6,137,33,0,499,164,28,95
158000,7,124,33,-20,415,66,12,95
180000,8,122,33,20,478,179,80,95
204000,9,135,34,-10,478,121,16,95
226000,10,87,33,-20,413,207,58,95
249000,11,134,36,40,492,167,44,95
272000,12,132,33,-20,448,135,6,95
294000,13,119,32,-10,423,197,68,95
318000,14,137,35,20,474,160,26,95
340000,15,125,34,-20,421,114,12,95
363000,16,121,32,-10,442,182,22,95
385000,17,118,32,-20,424,0,0,95
408000,18,97,30,-10,397,0,0,95
430000,19,75,28,0,373,0,0,95
453000,20,86,28,0,408,70,6,95
475000,21,92,26,-10,422,0,0,95
498000,22,83,24,-10,410,0,0,95
520000,23,82,21,0,431,0,0,95
543000,24,79,19,0,416,0,0,95
565000,25,79,17,0,431,0,0,95
588000,26,82,20,0,426,0,0,95
610000,27,80,18,-10,435,0,0,95
633000,28,81,16,0,443,0,0,95
655000,29,77,16,-10,426,0,0,95
678000,30,80,15,-10,437,0,0,95
700000,31,74,15,-10,424,0,0,95
723000,32,77,16,-20,421,0,0,95
745000,33,78,17,-20,422,0,0,95
768000,34,80,19,-20,457,138,2,95
790000,35,85,19,-20,453,0,0,95
813000,36,77,17,-30,409,0,0,95
835000,37,80,19,-20,448,0,0,95
858000,38,74,16,-30,413,0,0,95
880000,39,71,18,-30,414,0,0,95
903000,40,81,18,-10,428,0,0,95
925000,41,79,15,-30,409,0,0,95
