# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,3,82,-66,0,0,0,44177,0,107,40,0,95,456,14,81,-20,84,6
23000,1,10,79,-66,0,0,0,44177,0,16,38,0,95,385,13,81,-30,45,6
46000,2,3,77,-70,0,0,0,44177,0,37,35,0,95,406,17,74,-30,188,64
68000,3,35,126,-4,0,0,0,44177,0,8,38,0,95,484,19,116,0,156,66
91000,4,31,127,-72,0,0,0,44177,0,3,35,0,95,337,28,129,-50,34,6
113000,5,34,119,-79,0,0,0,44177,0,7,36,0,95,383,27,119,-50,182,80
136000,6,34,137,-56,0,0,0,44177,0,4,35,0,95,410,29,135,-50,150,46
158000,7,31,125,-99,0,0,0,44177,0,4,34,0,95,334,27,129,-50,108,10
181000,8,34,134,-32,0,0,0,44177,0,16,37,0,95,418,30,129,-40,174,84
203000,9,32,142,-81,0,0,0,44177,0,3,35,0,95,356,32,142,-50,143,38
226000,10,26,133,-86,0,0,0,44177,0,3,34,0,95,358,32,133,-40,194,44
248000,11,25,142,-32,0,0,0,44177,0,6,36,0,95,454,34,139,-30,152,66
271000,12,32,142,-85,0,0,0,44177,0,3,35,0,95,356,34,142,-50,67,6
293000,13,22,136,-56,0,0,0,44177,0,14,36,0,95,404,34,136,-40,183,92
316000,14,29,150,-36,0,0,0,44177,0,5,34,0,95,404,37,149,-20,152,52
338000,15,33,148,-93,0,0,0,44177,0,3,35,0,95,375,38,148,-60,72,6
361000,16,25,128,-93,0,0,0,44177,0,4,38,0,95,393,35,131,-50,189,18
383000,17,20,113,-99,0,0,0,44177,0,10,37,0,95,371,33,116,-20,0,0
406000,18,13,51,-119,0,0,0,44177,0,24,39,0,95,511,30,73,0,0,0
428000,19,3,46,-93,0,0,0,44177,0,100,36,0,95,511,28,47,0,0,0
451000,20,4,42,-68,0,0,0,44177,0,117,47,0,95,511,26,42,0,0,0
473000,21,4,47,-82,0,0,0,44177,0,138,45,0,95,511,24,42,0,0,0
496000,22,10,40,-49,0,0,0,44177,0,143,43,0,95,511,22,40,0,0,0
518000,23,7,43,-72,0,0,0,44177,0,126,44,0,95,511,20,41,0,0,0
541000,24,4,40,-49,0,0,0,44177,0,126,45,0,95,511,18,36,10,0,0
563000,25,0,0,0,0,0,0,44177,0,184,0,0,95,391,18,38,0,0,0
586000,26,3,69,-49,0,0,0,44177,0,139,42,0,95,405,19,70,0,0,0
608000,27,13,69,-44,0,0,0,44177,0,84,42,0,95,394,16,65,0,0,0
631000,28,7,74,-52,0,0,0,44177,0,25,42,0,95,409,16,73,0,0,0
653000,29,3,67,-50,0,0,0,44177,0,44,41,0,95,388,16,67,0,0,0
676000,30,6,65,-49,0,0,0,44177,0,39,45,0,95,392,16,65,0,0,0
698000,31,7,67,-47,0,0,0,44177,0,68,43,0,95,399,19,70,-10,0,0
721000,32,7,67,-47,0,0,0,44177,0,49,43,0,95,399,18,66,-10,0,0
743000,33,3,67,-53,0,0,0,44177,0,55,46,0,95,388,16,67,-10,0,0
766000,34,3,63,-46,0,0,0,44177,0,58,45,0,95,382,15,62,-10,0,0
788000,35,4,61,-48,0,0,0,44177,0,65,43,0,95,380,17,63,0,0,0
811000,36,4,65,-51,0,0,0,44177,0,67,44,0,95,400,17,57,-20,0,0
833000,37,6,61,-60,0,0,0,44177,0,59,43,0,95,384,14,62,-30,0,0
856000,38,7,58,-53,0,0,0,44177,0,71,43,0,95,382,14,61,-10,0,0
878000,39,4,61,-49,0,0,0,44177,0,90,43,0,95,389,13,60,-10,0,0
900000,40,3,64,-44,0,0,0,44177,0,64,46,0,95,398,15,65,-10,0,0
923000,41,9,69,-60,0,0,0,44177,0,69,44,0,95,413,15,67,-20,0,0
