# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,86,23,-50,390,82,12,95
22000,1,88,25,-30,385,0,0,95
45000,2,84,18,-50,388,176,106,95
67000,3,120,22,-30,477,162,136,95
90000,4,132,26,-50,462,91,10,95
112000,5,118,25,-50,408,179,118,95
135000,6,140,28,-30,442,154,96,95
157000,7,131,27,-60,401,65,14,95
180000,8,132,29,-60,422,167,130,95
202000,9,142,31,-30,430,111,62,95
225000,10,125,28,-50,405,189,126,95
248000,11,139,29,-20,446,158,124,95
270000,12,137,28,-30,416,145,4,95
293000,13,128,31,-30,402,171,116,95
315000,14,145,33,-20,475,158,94,95
338000,15,139,30,-40,413,0,0,95
360000,16,105,29,-40,345,0,0,95
383000,17,86,26,-30,348,0,0,95
405000,18,83,24,-30,367,0,0,95
428000,19,82,22,-30,382,0,0,95
450000,20,88,23,-40,409,0,0,95
473000,21,79,22,-40,383,0,0,95
495000,22,79,23,-40,403,0,0,95
518000,23,87,23,-60,419,0,0,95
540000,24,86,22,-50,401,0,0,95
563000,25,85,19,-50,395,0,0,95
585000,26,82,19,-50,384,0,0,95
608000,27,83,17,-60,387,0,0,95
630000,28,82,15,-60,388,0,0,95
653000,29,82,15,-50,384,0,0,95
675000,30,79,15,-50,378,0,0,95
698000,31,80,19,-50,384,0,0,95
720000,32,81,16,-50,382,0,0,95
743000,33,87,20,-50,402,0,0,95
765000,34,89,22,-60,401,0,0,95
788000,35,84,21,-40,384,0,0,95
810000,36,80,20,-50,382,0,0,95
833000,37,85,22,-50,402,43,8,95
855000,38,86,19,-50,386,0,0,95
878000,39,82,16,-50,384,0,0,95
900000,40,82,15,-50,384,0,0,95
923000,41,82,15,-50,382,0,0,95
