# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,89,22,-40,446,92,6,95
22000,1,96,22,-20,465,100,20,95
45000,2,89,23,-40,430,207,44,95
68000,3,124,26,10,509,167,36,95
91000,4,127,26,-20,465,79,8,95
114000,5,115,25,-10,423,218,58,85
137000,6,105,28,0,499,162,20,95
160000,7,127,27,-20,446,99,8,95
183000,8,123,29,0,466,171,72,95
206000,9,130,29,-30,446,97,10,95
229000,10,110,28,-150,448,207,92,95
253000,11,0,29,-10,473,164,30,50
276000,12,120,29,-30,436,93,14,95
299000,13,120,32,-130,478,188,84,85
322000,14,129,31,0,463,151,20,95
344000,15,109,31,-30,408,0,0,95
367000,16,81,28,-10,376,0,0,95
389000,17,76,26,-10,384,0,0,95
412000,18,84,27,-10,429,0,0,95
434000,19,77,24,-10,407,0,0,95
457000,20,67,22,-10,411,0,0,95
479000,21,69,20,-10,411,0,0,95
502000,22,77,21,-20,439,0,0,95
524000,23,71,17,-10,431,0,0,95
547000,24,74,21,-20,452,0,0,95
569000,25,68,17,-20,436,0,0,95
592000,26,76,18,-30,449,0,0,95
614000,27,73,17,-30,432,0,0,95
637000,28,75,20,-30,442,0,0,95
659000,29,82,20,-20,453,0,0,95
682000,30,78,20,-30,433,0,0,95
704000,31,76,18,-30,411,0,0,95
727000,32,83,19,-40,445,0,0,95
749000,33,82,21,-40,436,0,0,95
772000,34,73,19,-40,415,0,0,95
794000,35,75,19,-40,429,0,0,95
817000,36,83,19,-30,448,0,0,95
839000,37,85,17,-40,421,0,0,95
862000,38,79,18,-30,453,0,0,95
884000,39,80,17,-40,430,0,0,95
907000,40,76,21,-40,433,0,0,95
929000,41,80,21,-30,443,0,0,95
