# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,16,88,113,0,0,0,44177,0,36,36,0,95,446,22,89,-40,92,6
22000,1,26,95,44,0,0,0,44177,0,22,36,0,95,465,22,96,-20,100,20
45000,2,13,93,140,0,0,0,44177,0,24,36,0,95,430,23,89,-40,207,44
68000,3,21,131,-5,0,0,0,44177,0,46,38,0,95,509,26,124,10,167,36
91000,4,29,127,189,0,0,0,44177,0,5,36,0,95,465,26,127,-20,79,8
114000,5,0,0,0,0,0,0,44177,0,28,0,0,85,423,25,115,-10,218,58
137000,6,32,139,59,0,0,0,44177,0,32,36,0,95,499,28,105,0,162,20
160000,7,28,128,104,0,0,0,44177,0,25,37,0,95,446,27,127,-20,99,8
183000,8,25,134,143,0,0,0,44177,0,25,37,0,95,466,29,123,0,171,72
206000,9,32,129,134,0,0,0,44177,0,25,35,0,95,446,29,130,-30,97,10
229000,10,28,113,113,0,0,0,44177,0,10,35,0,95,448,28,110,-150,207,92
253000,11,24,131,172,0,0,0,44177,0,0,37,0,50,473,29,0,-10,164,30
276000,12,28,118,179,0,0,0,44177,0,6,35,0,95,436,29,120,-30,93,14
299000,13,22,133,129,0,0,0,44177,0,6,38,0,85,478,32,120,-130,188,84
322000,14,28,128,88,0,0,0,44177,0,23,37,0,95,463,31,129,0,151,20
344000,15,31,106,161,0,0,0,44177,0,11,34,0,95,408,31,109,-30,0,0
367000,16,4,74,166,0,0,0,44177,0,53,36,0,95,376,28,81,-10,0,0
389000,17,3,74,104,0,0,0,44177,0,67,38,0,95,384,26,76,-10,0,0
412000,18,11,86,92,0,0,0,44177,0,78,36,0,95,429,27,84,-10,0,0
434000,19,3,73,98,0,0,0,44177,0,59,36,0,95,407,24,77,-10,0,0
457000,20,7,67,81,0,0,0,44177,0,67,37,0,95,411,22,67,-10,0,0
479000,21,11,67,79,0,0,0,44177,0,61,37,0,95,411,20,69,-10,0,0
502000,22,3,78,87,0,0,0,44177,0,68,36,0,95,439,21,77,-20,0,0
524000,23,3,74,86,0,0,0,44177,0,53,35,0,95,431,17,71,-10,0,0
547000,24,4,72,98,0,0,0,44177,0,57,37,0,95,452,21,74,-20,0,0
569000,25,3,71,86,0,0,0,44177,0,68,36,0,95,436,17,68,-20,0,0
592000,26,10,76,95,0,0,0,44177,0,37,38,0,95,449,18,76,-30,0,0
614000,27,6,71,95,0,0,0,44177,0,42,37,0,95,432,17,73,-30,0,0
637000,28,7,73,94,0,0,0,44177,0,59,35,0,95,442,20,75,-30,0,0
659000,29,12,83,98,0,0,0,44177,0,40,36,0,95,453,20,82,-20,0,0
682000,30,3,76,105,0,0,0,44177,0,55,37,0,95,433,20,78,-30,0,0
704000,31,10,74,101,0,0,0,44177,0,59,36,0,95,411,18,76,-30,0,0
727000,32,6,84,115,0,0,0,44177,0,36,36,0,95,445,19,83,-40,0,0
749000,33,3,84,120,0,0,0,44177,0,33,36,0,95,436,21,82,-40,0,0
772000,34,9,73,116,0,0,0,44177,0,50,36,0,95,415,19,73,-40,0,0
794000,35,10,78,114,0,0,0,44177,0,47,37,0,95,429,19,75,-40,0,0
817000,36,14,85,113,0,0,0,44177,0,32,36,0,95,448,19,83,-30,0,0
839000,37,6,82,111,0,0,0,44177,0,25,37,0,95,421,17,85,-40,0,0
862000,38,7,83,114,0,0,0,44177,0,81,35,0,95,453,18,79,-30,0,0
884000,39,7,75,125,0,0,0,44177,0,56,35,0,95,430,17,80,-40,0,0
907000,40,3,77,124,0,0,0,44177,0,51,37,0,95,433,21,76,-40,0,0
929000,41,3,83,120,0,0,0,44177,0,53,37,0,95,443,21,80,-30,0,0
