# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,7,80,-38,0,0,0,44177,0,66,32,0,95,401,17,80,-20,102,8
23000,1,17,94,-31,0,0,0,44177,0,42,33,0,95,435,22,91,-10,60,8
45000,2,3,81,-144,0,0,0,44177,0,78,35,0,95,410,15,77,-30,203,84
68000,3,32,121,-36,0,0,0,44177,0,5,34,0,95,477,19,114,0,171,66
90000,4,41,122,-49,0,0,0,44177,0,7,33,0,95,446,29,122,-20,73,10
113000,5,30,122,-42,0,0,0,44177,0,8,33,0,95,431,29,120,-40,194,78
135000,6,31,134,-42,0,0,0,44177,0,3,32,0,95,442,31,133,-30,167,48
158000,7,29,121,-45,0,0,0,44177,0,5,32,0,95,399,31,125,-30,51,10
180000,8,34,131,-40,0,0,0,44177,0,26,32,0,95,412,33,125,-40,179,92
204000,9,32,130,-41,0,0,0,44177,0,3,32,0,95,422,33,130,0,148,28
226000,10,28,122,-19,0,0,0,44177,0,6,32,0,95,397,32,120,-20,211,122
249000,11,38,130,-29,0,0,0,44177,0,11,32,0,95,416,36,129,50,167,70
272000,12,30,123,-46,0,0,0,44177,0,3,34,0,95,400,34,125,0,67,10
294000,13,25,123,-65,0,0,0,44177,0,18,32,0,95,400,33,121,-40,194,104
318000,14,32,133,-23,0,0,0,44177,0,16,34,0,95,454,36,133,-10,167,42
341000,15,25,124,-37,0,0,0,44177,0,4,33,0,95,404,35,126,-30,85,10
363000,16,31,133,8,0,0,0,44177,0,4,34,0,95,430,36,124,0,179,118
387000,17,35,131,-47,0,0,0,44177,0,2,33,0,95,390,36,132,0,107,10
410000,18,28,97,-89,0,0,0,44177,0,46,34,0,95,376,33,107,0,0,0
433000,19,7,65,-41,0,0,0,44177,0,110,33,0,95,318,31,75,10,32,10
455000,20,7,70,-17,0,0,0,44177,0,110,34,0,95,352,32,67,20,0,0
478000,21,14,87,-26,0,0,0,44177,0,109,33,0,95,411,32,81,-10,10,8
500000,22,17,87,0,0,0,0,44177,0,26,35,0,95,385,29,88,0,23,12
523000,23,7,76,-41,0,0,0,44177,0,24,33,0,95,390,27,80,-10,0,0
546000,24,15,78,-41,0,0,0,44177,0,39,33,0,95,396,25,77,0,0,0
568000,25,8,81,-7,0,0,0,44177,0,79,33,0,95,400,23,77,0,0,0
591000,26,6,73,-37,0,0,0,44177,0,92,34,0,95,389,20,70,0,0,0
613000,27,3,80,-32,0,0,0,44177,0,43,33,0,95,406,21,78,-10,0,0
636000,28,6,78,-47,0,0,0,44177,0,48,33,0,95,399,18,80,-10,0,0
658000,29,3,78,-38,0,0,0,44177,0,38,32,0,95,399,18,78,-10,0,0
681000,30,3,74,-40,0,0,0,44177,0,59,36,0,95,393,17,75,-10,0,0
703000,31,10,77,-40,0,0,0,44177,0,60,34,0,95,399,17,77,-10,0,0
726000,32,10,76,-38,0,0,0,44177,0,56,35,0,95,397,17,75,-10,0,0
748000,33,4,77,-40,0,0,0,44177,0,37,33,0,95,396,16,79,-10,0,0
771000,34,6,75,-42,0,0,0,44177,0,62,35,0,95,393,14,75,-20,0,0
793000,35,9,75,-40,0,0,0,44177,0,59,34,0,95,393,13,77,-10,0,0
816000,36,13,77,-38,0,0,0,44177,0,59,34,0,95,399,15,75,-10,0,0
838000,37,13,84,-43,0,0,0,44177,0,39,33,0,95,414,17,83,-20,0,0
861000,38,20,83,-24,0,0,0,44177,0,41,35,0,95,407,17,82,-10,124,0
883000,39,10,74,-39,0,0,0,44177,0,43,35,0,95,393,16,76,-10,0,0
906000,40,6,70,-31,0,0,0,44177,0,58,32,0,95,390,16,69,0,0,0
928000,41,10,77,-33,0,0,0,44177,0,81,34,0,95,395,16,75,-10,0,0
