# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,6,84,286,0,0,0,44177,0,0,37,0,95,417,15,85,0,0,0
23000,1,20,92,180,0,0,0,44177,0,40,36,0,95,437,22,89,0,103,10
46000,2,20,92,345,0,0,0,44177,0,28,35,0,95,434,17,79,0,211,124
68000,3,0,0,0,0,0,0,44177,0,0,0,0,50,425,36,0,0,171,96
91000,4,34,136,452,0,0,0,44177,0,34,39,0,95,458,35,134,0,79,6
114000,5,0,0,0,0,0,0,44177,0,20,0,0,85,408,30,121,0,200,120
137000,6,25,141,106,0,0,0,44177,0,20,36,0,95,430,31,131,0,160,74
160000,7,26,121,429,0,0,0,44177,0,16,36,0,95,399,30,126,0,96,6
183000,8,0,0,0,0,0,0,44177,0,14,0,0,85,256,0,128,0,174,112
206000,9,20,134,164,0,0,0,44177,0,14,36,0,85,422,31,146,0,162,20
228000,10,28,129,316,0,0,0,44177,0,18,36,0,95,411,30,129,0,194,88
251000,11,0,0,0,0,0,0,44177,0,18,0,0,85,434,31,148,0,167,110
274000,12,22,142,470,0,0,0,44177,0,15,36,0,95,430,30,146,10,109,24
296000,13,0,0,0,0,0,0,44177,0,9,0,0,85,385,29,137,10,188,130
320000,14,34,150,194,0,0,0,44177,0,9,36,0,85,480,29,153,0,140,48
342000,15,35,126,526,0,0,0,44177,0,11,37,0,95,369,29,131,30,0,0
365000,16,16,87,461,0,0,0,44177,0,26,37,0,95,338,25,93,30,0,0
387000,17,3,78,539,0,0,0,44177,0,61,36,0,95,348,23,83,40,0,0
410000,18,7,76,426,0,0,0,44177,0,71,36,0,95,370,21,75,40,0,0
432000,19,3,80,354,0,0,0,44177,0,79,38,0,95,387,22,78,30,0,0
455000,20,9,88,335,0,0,0,44177,0,28,37,0,95,407,22,88,30,0,0
477000,21,3,78,342,0,0,0,44177,0,39,37,0,95,392,19,82,20,0,0
500000,22,9,85,250,0,0,0,44177,0,31,38,0,95,409,20,81,20,0,0
522000,23,13,92,333,0,0,0,44177,0,55,37,0,95,427,21,92,10,0,0
545000,24,13,83,317,0,0,0,44177,0,54,37,0,95,403,21,84,10,0,0
567000,25,8,78,324,0,0,0,44177,0,43,35,0,95,394,17,80,10,0,0
590000,26,4,74,267,0,0,0,44177,0,72,37,0,95,391,16,75,10,0,0
612000,27,4,73,338,0,0,0,44177,0,64,37,0,95,389,14,72,0,0,0
635000,28,7,80,319,0,0,0,44177,0,50,35,0,95,408,15,80,0,0,0
657000,29,6,74,358,0,0,0,44177,0,50,36,0,95,391,14,75,0,0,0
680000,30,10,80,313,0,0,0,44177,0,54,37,0,95,408,15,77,0,0,0
702000,31,3,81,349,0,0,0,44177,0,35,36,0,95,412,14,80,0,0,0
725000,32,10,77,412,0,0,0,44177,0,30,37,0,95,399,13,80,0,0,0
747000,33,6,80,407,0,0,0,44177,0,41,36,0,95,396,14,78,0,0,0
770000,34,3,76,379,0,0,0,44177,0,29,37,0,95,386,13,77,0,0,0
792000,35,3,80,384,0,0,0,44177,0,55,35,0,95,398,14,81,0,0,0
815000,36,10,79,388,0,0,0,44177,0,32,36,0,95,394,13,77,-10,0,0
837000,37,4,72,383,0,0,0,44177,0,64,38,0,95,377,12,75,-10,0,0
860000,38,3,76,412,0,0,0,44177,0,42,37,0,95,390,15,73,-10,0,0
882000,39,3,75,400,0,0,0,44177,0,33,37,0,95,384,13,76,-20,0,0
905000,40,7,79,382,0,0,0,44177,0,52,36,0,95,396,13,77,-10,0,0
927000,41,7,78,395,0,0,0,44177,0,32,37,0,95,400,15,78,-20,0,0
