# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,65,23,0,366,34,4,95
23000,1,48,7,0,365,85,4,95
46000,2,55,7,-20,321,188,74,95
69000,3,106,20,-30,386,154,68,95
91000,4,121,23,-50,363,0,0,95
114000,5,118,26,-20,416,179,84,95
136000,6,136,28,-30,367,154,80,95
159000,7,126,27,-50,349,0,0,95
181000,8,125,31,0,438,162,84,95
205000,9,135,33,-50,358,100,14,95
227000,10,120,31,-60,369,179,66,95
250000,11,132,34,-10,434,154,68,95
272000,12,139,37,-40,352,68,6,95
295000,13,126,33,-50,387,192,102,95
318000,14,144,33,-30,425,150,56,95
340000,15,140,33,-40,365,132,8,95
363000,16,109,30,-20,358,0,0,95
385000,17,62,28,0,511,0,0,95
408000,18,43,26,0,511,0,0,95
430000,19,41,24,0,511,0,0,95
453000,20,38,22,-10,511,0,0,95
475000,21,41,20,0,511,0,0,95
498000,22,0,18,0,511,0,0,50
520000,23,39,15,0,511,0,0,95
543000,24,36,16,0,351,0,0,95
566000,25,53,18,0,377,0,0,95
588000,26,59,14,0,355,0,0,95
611000,27,61,15,0,414,0,0,95
633000,28,64,14,0,412,0,0,95
656000,29,65,11,0,372,0,0,95
679000,30,35,11,0,424,0,0,95
702000,31,38,14,-10,390,0,0,95
725000,32,60,14,-10,382,0,0,95
747000,33,57,15,-10,385,0,0,95
770000,34,59,16,-10,384,0,0,95
792000,35,44,14,-10,362,0,0,95
814000,36,59,18,-20,400,0,0,95
837000,37,64,16,-20,398,0,0,95
859000,38,67,16,-30,400,0,0,95
882000,39,71,17,-50,413,0,0,95
904000,40,0,13,-30,511,0,0,50
927000,41,66,13,-30,384,0,0,95
