# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,39,24,30,511,0,0,95
24000,1,34,25,10,511,0,0,95
46000,2,50,13,0,353,0,0,95
70000,3,42,13,-10,373,0,0,95
92000,4,53,13,0,360,0,0,95
115000,5,56,13,0,370,0,0,95
137000,6,55,14,0,370,0,0,95
160000,7,54,14,0,381,0,0,95
182000,8,55,18,0,373,0,0,95
205000,9,50,18,0,362,0,0,95
228000,10,50,15,0,371,0,0,95
250000,11,55,18,0,387,0,0,95
273000,12,56,21,0,387,0,0,95
295000,13,52,17,0,370,0,0,95
318000,14,53,15,0,380,0,0,95
340000,15,55,15,0,385,0,0,95
363000,16,49,14,0,366,0,0,95
386000,17,55,15,0,384,0,0,95
408000,18,59,15,0,406,0,0,95
431000,19,62,13,-10,406,0,0,95
453000,20,59,12,0,366,0,0,95
476000,21,47,11,0,353,0,0,95
498000,22,50,14,0,373,0,0,95
521000,23,50,13,0,385,0,0,95
544000,24,54,13,0,371,0,0,95
566000,25,51,13,0,386,0,0,95
