# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,23,68,68,0,0,0,44177,0,0,36,0,50,361,23,0,0,68,8
24000,1,7,67,-34,0,0,0,44177,0,45,36,0,85,354,13,30,0,0,0
46000,2,4,70,-31,0,0,0,44177,0,69,35,0,95,356,24,69,10,0,0
70000,3,11,65,211,0,0,0,44177,0,0,38,0,50,332,18,0,0,0,0
93000,4,14,64,123,0,0,0,44177,0,69,38,0,95,409,17,39,0,0,0
116000,5,8,63,186,0,0,0,44177,0,69,35,0,95,419,17,42,0,0,0
140000,6,6,67,0,0,0,0,44177,0,69,34,0,95,418,17,67,30,0,0
163000,7,7,61,-31,0,0,0,44177,0,47,39,0,95,356,17,63,20,0,0
186000,8,14,61,41,0,0,0,44177,0,45,36,0,95,345,14,60,30,0,0
208000,9,10,60,62,0,0,0,44177,0,62,36,0,95,344,13,60,30,0,0
230000,10,4,64,-68,0,0,0,44177,0,0,35,0,50,382,14,0,0,0,0
254000,11,7,62,54,0,0,0,44177,0,0,36,0,50,374,11,0,0,0,0
277000,12,4,60,26,0,0,0,44177,0,63,36,0,95,348,14,61,20,0,0
299000,13,9,61,-8,0,0,0,44177,0,52,35,0,95,348,15,60,10,0,0
322000,14,10,63,-38,0,0,0,44177,0,47,36,0,95,368,14,63,0,0,0
345000,15,7,60,17,0,0,0,44177,0,47,36,0,95,344,13,46,30,0,0
368000,16,10,62,5,0,0,0,44177,0,88,36,0,95,359,15,60,20,0,0
390000,17,7,62,-46,0,0,0,44177,0,79,35,0,95,355,14,63,20,0,0
412000,18,4,64,-6,0,0,0,44177,0,79,36,0,95,380,11,48,0,0,0
436000,19,11,63,-16,0,0,0,44177,0,62,36,0,95,374,11,32,20,0,0
459000,20,14,61,-39,0,0,0,44177,0,63,38,0,95,363,15,60,20,0,0
481000,21,7,68,42,0,0,0,44177,0,0,38,0,50,424,27,0,250,0,0
505000,22,3,65,-18,0,0,0,44177,0,62,36,0,95,366,25,38,20,0,0
527000,23,7,61,-17,0,0,0,44177,0,53,37,0,95,364,24,63,30,0,0
550000,24,6,73,95,0,0,0,44177,0,53,36,0,95,410,24,62,0,0,0
573000,25,11,67,-15,0,0,0,44177,0,50,36,0,85,382,22,36,20,0,0
595000,26,10,64,17,0,0,0,44177,0,51,38,0,95,361,19,66,20,0,0
