# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,0,23,0,361,68,8,50
24000,1,30,13,0,354,0,0,85
46000,2,69,24,10,356,0,0,95
70000,3,0,18,0,332,0,0,50
93000,4,39,17,0,409,0,0,95
116000,5,42,17,0,419,0,0,95
140000,6,67,17,30,418,0,0,95
163000,7,63,17,20,356,0,0,95
186000,8,60,14,30,345,0,0,95
208000,9,60,13,30,344,0,0,95
230000,10,0,14,0,382,0,0,50
254000,11,0,11,0,374,0,0,50
277000,12,61,14,20,348,0,0,95
299000,13,60,15,10,348,0,0,95
322000,14,63,14,0,368,0,0,95
345000,15,46,13,30,344,0,0,95
368000,16,60,15,20,359,0,0,95
390000,17,63,14,20,355,0,0,95
412000,18,48,11,0,380,0,0,95
436000,19,32,11,20,374,0,0,95
459000,20,60,15,20,363,0,0,95
481000,21,0,27,250,424,0,0,50
505000,22,38,25,20,366,0,0,95
527000,23,63,24,30,364,0,0,95
550000,24,62,24,0,410,0,0,95
573000,25,36,22,20,382,0,0,85
595000,26,66,19,20,361,0,0,95
