# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,113,22,-30,416,91,4,95
23000,1,110,25,-10,421,0,0,95
46000,2,114,22,0,439,200,82,95
69000,3,148,38,-10,485,162,50,95
91000,4,155,40,0,477,105,22,95
114000,5,157,40,0,476,197,92,95
137000,6,165,43,-30,440,164,46,95
160000,7,162,40,-30,474,95,8,95
182000,8,164,41,0,466,175,74,85
206000,9,167,38,0,426,160,40,85
229000,10,164,39,0,433,205,92,85
252000,11,167,39,-80,404,162,44,85
275000,12,168,38,-50,453,101,14,95
298000,13,168,35,-20,460,194,78,95
321000,14,169,36,0,397,160,46,85
344000,15,166,35,-60,440,0,0,95
367000,16,140,35,-20,390,0,0,95
389000,17,119,32,-20,386,0,0,95
412000,18,107,32,-10,387,0,0,95
434000,19,111,32,-10,407,0,0,95
457000,20,108,30,-10,395,0,0,95
479000,21,107,30,-10,416,0,0,95
502000,22,114,30,0,429,0,0,95
524000,23,107,27,-10,413,0,0,95
547000,24,102,24,0,418,0,0,95
570000,25,102,23,-10,418,0,0,95
592000,26,104,23,0,421,0,0,95
615000,27,102,24,-10,416,0,0,95
637000,28,98,22,0,410,0,0,95
660000,29,103,23,0,438,0,0,95
682000,30,105,22,0,442,0,0,95
705000,31,96,20,20,397,0,0,95
727000,32,102,23,0,435,0,0,95
750000,33,104,24,0,432,0,0,95
772000,34,97,22,0,415,0,0,95
795000,35,93,19,-20,422,0,0,95
817000,36,93,19,-10,406,0,0,95
840000,37,99,22,0,423,0,0,95
862000,38,92,21,0,392,0,0,95
885000,39,101,22,0,408,0,0,95
907000,40,100,19,-10,413,0,0,95
930000,41,99,20,-10,420,0,0,95
