# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,26,94,-84,0,0,0,44177,0,22,32,0,95,411,24,97,-60,90,8
24000,1,29,89,-77,0,0,0,44177,0,58,34,0,95,397,22,86,-50,0,0
47000,2,23,85,-92,0,0,0,44177,0,31,34,0,95,392,18,86,-60,179,122
69000,3,31,132,-55,0,0,0,44177,0,7,33,0,95,497,22,125,-40,157,126
92000,4,32,131,-91,0,0,0,44177,0,3,33,0,95,438,26,132,-70,76,6
114000,5,38,127,-89,0,0,0,44177,0,16,34,0,95,404,26,125,-50,175,116
137000,6,31,144,-48,0,0,0,44177,0,4,32,0,95,446,28,142,-10,158,88
159000,7,32,134,-97,0,0,0,44177,0,6,32,0,95,408,28,137,-70,0,0
182000,8,37,140,-57,0,0,0,44177,0,5,34,0,95,426,31,135,-30,167,130
204000,9,34,144,-60,0,0,0,44177,0,4,31,0,95,421,34,144,-40,103,38
227000,10,34,130,-93,0,0,0,44177,0,27,31,0,95,387,33,131,-50,190,98
249000,11,40,146,-41,0,0,0,44177,0,4,32,0,95,425,35,143,-10,160,116
272000,12,34,142,-77,0,0,0,44177,0,3,30,0,95,421,38,144,-50,70,6
294000,13,31,135,-76,0,0,0,44177,0,8,32,0,95,397,37,134,-40,180,118
317000,14,27,149,-43,0,0,0,44177,0,4,33,0,95,442,40,147,-20,162,92
339000,15,35,151,-62,0,0,0,44177,0,3,31,0,95,417,36,151,-40,175,62
362000,16,31,136,-76,0,0,0,44177,0,4,33,0,95,391,34,138,-40,69,4
385000,17,31,106,-83,0,0,0,44177,0,18,33,0,95,363,33,110,-30,0,0
407000,18,27,99,-75,0,0,0,44177,0,26,35,0,95,371,31,101,-30,0,0
430000,19,25,93,-69,0,0,0,44177,0,38,32,0,95,380,28,93,-30,0,0
452000,20,26,91,-105,0,0,0,44177,0,33,32,0,95,385,28,93,-60,0,0
475000,21,22,90,-94,0,0,0,44177,0,33,34,0,95,391,25,89,-50,0,0
497000,22,18,86,-56,0,0,0,44177,0,36,35,0,95,390,25,88,-30,0,0
520000,23,26,92,-72,0,0,0,44177,0,21,33,0,95,403,25,88,-40,0,0
542000,24,19,84,-57,0,0,0,44177,0,31,33,0,95,398,23,88,-30,0,0
565000,25,19,85,-58,0,0,0,44177,0,13,34,0,95,400,25,87,-30,0,0
587000,26,15,85,-59,0,0,0,44177,0,11,33,0,95,400,24,85,-30,0,0
610000,27,23,87,-59,0,0,0,44177,0,12,33,0,95,405,22,86,-40,0,0
632000,28,22,85,-58,0,0,0,44177,0,15,35,0,95,400,22,86,-30,0,0
655000,29,19,86,-62,0,0,0,44177,0,18,33,0,95,402,23,86,-30,0,0
677000,30,23,86,-66,0,0,0,44177,0,25,34,0,95,394,20,85,-40,0,0
700000,31,17,84,-66,0,0,0,44177,0,23,34,0,95,388,18,82,-40,0,0
722000,32,22,87,-71,0,0,0,44177,0,19,33,0,95,392,22,85,-40,0,0
745000,33,16,88,-73,0,0,0,44177,0,48,34,0,95,397,23,88,-40,0,0
767000,34,13,84,-72,0,0,0,44177,0,44,32,0,95,388,21,84,-40,0,0
790000,35,6,84,-73,0,0,0,44177,0,19,34,0,95,388,17,83,-50,0,0
812000,36,3,83,-77,0,0,0,44177,0,29,32,0,95,388,20,83,-40,0,0
835000,37,10,85,-74,0,0,0,44177,0,20,32,0,95,390,21,85,-50,0,0
857000,38,13,85,-77,0,0,0,44177,0,20,35,0,95,392,22,85,-50,0,0
880000,39,13,87,-77,0,0,0,44177,0,34,33,0,95,395,24,84,-50,0,0
902000,40,18,90,-75,0,0,0,44177,0,40,32,0,95,392,24,89,-50,240,0
925000,41,11,83,-94,0,0,0,44177,0,30,33,0,95,375,20,86,-60,0,0
