# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,97,24,-60,411,90,8,95
24000,1,86,22,-50,397,0,0,95
47000,2,86,18,-60,392,179,122,95
69000,3,125,22,-40,497,157,126,95
92000,4,132,26,-70,438,76,6,95
114000,5,125,26,-50,404,175,116,95
137000,6,142,28,-10,446,158,88,95
159000,7,137,28,-70,408,0,0,95
182000,8,135,31,-30,426,167,130,95
204000,9,144,34,-40,421,103,38,95
227000,10,131,33,-50,387,190,98,95
249000,11,143,35,-10,425,160,116,95
272000,12,144,38,-50,421,70,6,95
294000,13,134,37,-40,397,180,118,95
317000,14,147,40,-20,442,162,92,95
339000,15,151,36,-40,417,175,62,95
362000,16,138,34,-40,391,69,4,95
385000,17,110,33,-30,363,0,0,95
407000,18,101,31,-30,371,0,0,95
430000,19,93,28,-30,380,0,0,95
452000,20,93,28,-60,385,0,0,95
475000,21,89,25,-50,391,0,0,95
497000,22,88,25,-30,390,0,0,95
520000,23,88,25,-40,403,0,0,95
542000,24,88,23,-30,398,0,0,95
565000,25,87,25,-30,400,0,0,95
587000,26,85,24,-30,400,0,0,95
610000,27,86,22,-40,405,0,0,95
632000,28,86,22,-30,400,0,0,95
655000,29,86,23,-30,402,0,0,95
677000,30,85,20,-40,394,0,0,95
700000,31,82,18,-40,388,0,0,95
722000,32,85,22,-40,392,0,0,95
745000,33,88,23,-40,397,0,0,95
767000,34,84,21,-40,388,0,0,95
790000,35,83,17,-50,388,0,0,95
812000,36,83,20,-40,388,0,0,95
835000,37,85,21,-50,390,0,0,95
857000,38,85,22,-50,392,0,0,95
880000,39,84,24,-50,395,0,0,95
902000,40,89,24,-50,392,240,0,95
925000,41,86,20,-60,375,0,0,95
