# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,22,103,-27,0,0,0,44177,0,28,36,0,95,462,25,104,-10,88,8
23000,1,22,108,-20,0,0,0,44177,0,34,35,0,95,463,23,105,0,174,74
45000,2,31,144,-10,0,0,0,44177,0,5,34,0,95,508,29,140,0,158,48
68000,3,32,145,-33,0,0,0,44177,0,3,32,0,95,483,32,144,-10,65,6
90000,4,28,139,-27,0,0,0,44177,0,7,34,0,95,438,31,137,0,167,74
113000,5,34,148,-13,0,0,0,44177,0,3,33,0,95,457,34,147,0,154,42
135000,6,41,138,-39,0,0,0,44177,0,5,31,0,95,426,34,138,-20,169,66
158000,7,34,148,-4,0,0,0,44177,0,4,34,0,95,450,36,144,0,169,72
180000,8,31,153,-18,0,0,0,44177,0,4,32,0,95,485,36,153,0,126,46
203000,9,37,138,-24,0,0,0,44177,0,6,32,0,95,413,34,138,-10,169,100
225000,10,40,154,16,0,0,0,44177,0,2,33,0,95,479,37,151,10,160,76
248000,11,44,152,-25,0,0,0,44177,0,2,32,0,95,447,36,153,-10,60,8
270000,12,37,148,4,0,0,0,44177,0,5,34,0,95,425,36,147,10,167,104
293000,13,34,158,7,0,0,0,44177,0,3,33,0,95,495,37,157,20,154,40
315000,14,37,158,4,0,0,0,44177,0,4,33,0,95,426,36,157,10,171,20
338000,15,31,151,-12,0,0,0,44177,0,4,32,0,95,432,36,154,0,0,0
361000,16,27,122,-15,0,0,0,44177,0,20,32,0,95,381,34,126,0,0,0
383000,17,24,96,-28,0,0,0,44177,0,47,34,0,95,356,31,102,20,0,0
406000,18,20,111,-17,0,0,0,44177,0,40,33,0,95,404,32,107,10,0,0
428000,19,16,100,-12,0,0,0,44177,0,34,32,0,95,392,29,99,20,0,0
451000,20,22,99,-10,0,0,0,44177,0,14,35,0,95,400,27,100,20,0,0
473000,21,16,98,-3,0,0,0,44177,0,29,35,0,95,400,25,98,10,0,0
496000,22,22,95,-14,0,0,0,44177,0,29,34,0,95,402,23,94,10,0,0
518000,23,21,97,-21,0,0,0,44177,0,41,35,0,95,417,22,96,0,0,0
541000,24,25,95,-15,0,0,0,44177,0,28,35,0,95,412,23,95,0,0,0
563000,25,19,88,-9,0,0,0,44177,0,21,35,0,95,397,22,89,10,0,0
586000,26,22,95,-15,0,0,0,44177,0,11,34,0,95,425,22,93,0,0,0
608000,27,27,94,-11,0,0,0,44177,0,17,36,0,95,420,22,94,10,0,0
631000,28,20,83,0,0,0,0,44177,0,34,36,0,95,395,20,87,10,0,0
653000,29,22,87,-7,0,0,0,44177,0,38,36,0,95,405,20,85,10,0,0
676000,30,18,85,-3,0,0,0,44177,0,43,35,0,95,411,19,85,10,0,0
698000,31,14,79,1,0,0,0,44177,0,27,33,0,95,387,17,84,20,0,0
721000,32,11,81,0,0,0,0,44177,0,22,34,0,95,400,16,81,20,0,0
743000,33,7,82,4,0,0,0,44177,0,60,34,0,95,403,17,82,20,0,0
766000,34,6,82,4,0,0,0,44177,0,26,36,0,95,403,16,81,20,0,0
788000,35,7,82,3,0,0,0,44177,0,43,35,0,95,403,16,82,20,0,0
811000,36,12,87,-10,0,0,0,44177,0,14,34,0,95,414,18,86,10,0,0
833000,37,3,79,-3,0,0,0,44177,0,28,35,0,95,395,14,81,10,0,0
856000,38,3,80,-1,0,0,0,44177,0,25,35,0,95,397,15,79,10,0,0
878000,39,6,82,-4,0,0,0,44177,0,49,35,0,95,414,16,82,10,0,0
901000,40,7,79,-2,0,0,0,44177,0,31,36,0,95,403,15,77,10,0,0
923000,41,6,85,-9,0,0,0,44177,0,22,34,0,95,409,19,83,0,0,0
