# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,22,101,411,0,0,0,44177,0,39,37,0,95,447,24,100,-10,106,8
22000,1,19,91,448,0,0,0,44177,0,28,37,0,95,414,19,93,0,89,4
45000,2,4,83,378,0,0,0,44177,0,33,37,0,95,376,14,85,-10,218,232
67000,3,0,0,0,0,0,0,44177,0,33,0,0,85,256,0,56,0,168,100
90000,4,28,132,505,0,0,0,44177,0,43,37,0,95,416,5,130,0,102,8
113000,5,0,0,0,0,0,0,44177,0,43,0,0,85,391,5,118,-20,211,118
135000,6,26,147,187,0,0,0,44177,0,21,38,0,85,440,7,141,30,167,76
158000,7,36,127,543,0,0,0,44177,0,6,36,0,95,395,7,131,10,108,4
180000,8,0,0,0,0,0,0,44177,0,6,0,0,85,436,9,125,0,174,138
204000,9,26,143,410,0,0,0,44177,0,23,37,0,95,393,6,136,10,109,28
226000,10,25,124,445,0,0,0,44177,0,7,37,0,95,366,6,127,20,203,52
249000,11,0,0,0,0,0,0,44177,0,7,0,0,85,256,0,138,0,167,116
272000,12,31,141,485,0,0,0,44177,0,19,36,0,95,411,8,144,10,102,10
294000,13,0,0,0,0,0,0,44177,0,18,0,0,85,372,8,130,0,202,114
317000,14,26,153,188,0,0,0,44177,0,18,38,0,85,430,10,157,20,162,64
339000,15,26,129,485,0,0,0,44177,0,9,36,0,95,387,10,102,30,185,10
362000,16,21,105,460,0,0,0,44177,0,28,38,0,95,360,9,106,30,0,0
384000,17,16,95,577,0,0,0,44177,0,48,37,0,95,374,9,94,30,0,0
407000,18,25,87,424,0,0,0,44177,0,55,37,0,95,378,8,85,30,0,0
429000,19,18,84,386,0,0,0,44177,0,43,37,0,95,380,8,90,30,0,0
452000,20,22,88,333,0,0,0,44177,0,44,36,0,95,388,11,86,30,0,0
474000,21,22,96,357,0,0,0,44177,0,38,37,0,95,415,13,94,20,0,0
497000,22,20,84,325,0,0,0,44177,0,32,36,0,95,388,12,88,20,0,0
519000,23,15,81,332,0,0,0,44177,0,36,38,0,95,391,14,83,20,0,0
542000,24,10,80,315,0,0,0,44177,0,39,36,0,95,393,16,78,10,0,0
564000,25,13,85,364,0,0,0,44177,0,42,36,0,95,401,16,86,10,0,0
587000,26,18,91,323,0,0,0,44177,0,36,37,0,95,414,18,91,10,0,0
609000,27,17,81,351,0,0,0,44177,0,33,37,0,95,389,18,83,10,0,0
632000,28,12,79,350,0,0,0,44177,0,57,36,0,95,383,16,79,0,0,0
654000,29,7,78,354,0,0,0,44177,0,46,37,0,95,381,15,78,0,0,0
677000,30,4,76,351,0,0,0,44177,0,44,37,0,95,377,17,79,0,0,0
699000,31,3,75,348,0,0,0,44177,0,47,36,0,95,385,17,74,0,0,0
722000,32,6,78,326,0,0,0,44177,0,43,38,0,95,386,15,76,0,0,0
744000,33,6,77,378,0,0,0,44177,0,55,37,0,95,392,14,78,0,0,0
767000,34,6,76,393,0,0,0,44177,0,65,36,0,95,390,14,78,0,0,0
789000,35,3,76,391,0,0,0,44177,0,44,37,0,95,386,15,76,0,0,0
812000,36,3,73,389,0,0,0,44177,0,52,36,0,95,379,17,74,0,0,0
834000,37,7,76,410,0,0,0,44177,0,41,37,0,95,386,15,74,0,0,0
857000,38,6,78,412,0,0,0,44177,0,33,35,0,95,403,15,78,-10,0,0
879000,39,11,79,379,0,0,0,44177,0,35,38,0,95,397,16,80,0,0,0
902000,40,3,78,394,0,0,0,44177,0,44,37,0,95,394,17,80,0,0,0
924000,41,10,75,402,0,0,0,44177,0,60,37,0,95,384,16,76,-10,0,0
