# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,100,24,-10,447,106,8,95
22000,1,93,19,0,414,89,4,95
45000,2,85,14,-10,376,218,232,95
67000,3,56,0,0,256,168,100,85
90000,4,130,5,0,416,102,8,95
113000,5,118,5,-20,391,211,118,85
135000,6,141,7,30,440,167,76,85
158000,7,131,7,10,395,108,4,95
180000,8,125,9,0,436,174,138,85
204000,9,136,6,10,393,109,28,95
226000,10,127,6,20,366,203,52,95
249000,11,138,0,0,256,167,116,85
272000,12,144,8,10,411,102,10,95
294000,13,130,8,0,372,202,114,85
317000,14,157,10,20,430,162,64,85
339000,15,102,10,30,387,185,10,95
362000,16,106,9,30,360,0,0,95
384000,17,94,9,30,374,0,0,95
407000,18,85,8,30,378,0,0,95
429000,19,90,8,30,380,0,0,95
452000,20,86,11,30,388,0,0,95
474000,21,94,13,20,415,0,0,95
497000,22,88,12,20,388,0,0,95
519000,23,83,14,20,391,0,0,95
542000,24,78,16,10,393,0,0,95
564000,25,86,16,10,401,0,0,95
587000,26,91,18,10,414,0,0,95
609000,27,83,18,10,389,0,0,95
632000,28,79,16,0,383,0,0,95
654000,29,78,15,0,381,0,0,95
677000,30,79,17,0,377,0,0,95
699000,31,74,17,0,385,0,0,95
722000,32,76,15,0,386,0,0,95
744000,33,78,14,0,392,0,0,95
767000,34,78,14,0,390,0,0,95
789000,35,76,15,0,386,0,0,95
812000,36,74,17,0,379,0,0,95
834000,37,74,15,0,386,0,0,95
857000,38,78,15,-10,403,0,0,95
879000,39,80,16,0,397,0,0,95
902000,40,80,17,0,394,0,0,95
924000,41,76,16,-10,384,0,0,95
