# session_0,session_1,session_2,session_3,session_4,session_5,session_6,session_7,session_8,session_9,session_10,session_11,session_12,session_13,session_14,session_15,session_16,session_17,session_18,session_19,session_20,session_21,session_22,session_23,session_24,session_25
50,66,68,65,54,57,58,58,59,60,60,60,61,60,60,61,66,63,63,62,66,73,58,72,61,66
50,65,68,61,54,57,58,58,59,60,60,60,59,60,60,61,66,63,63,62,64,73,58,72,61,66
50,64,68,63,54,57,58,58,59,60,60,60,59,60,60,61,66,63,63,62,63,75,56,71,61,66
50,63,67,63,54,57,58,58,59,60,60,58,59,60,60,61,66,63,63,64,63,75,56,70,63,69
50,63,67,63,53,55,58,58,59,60,60,58,59,60,60,59,66,63,64,64,64,75,56,70,63,69
50,63,67,63,53,55,58,59,59,60,60,58,59,62,61,59,63,64,64,67,64,75,58,70,65,69
50,63,67,61,54,56,58,59,59,60,67,58,59,60,61,59,62,64,64,69,64,75,62,62,65,69
53,64,67,58,54,56,58,59,59,59,68,58,59,60,59,59,62,64,65,69,64,73,65,61,67,0
66,63,67,58,53,57,58,59,60,61,70,58,59,60,62,59,60,63,64,69,66,72,67,61,68,0
68,63,67,56,53,57,58,60,59,61,70,58,65,60,62,62,60,61,64,69,66,66,67,58,68,0
73,63,67,56,53,57,58,60,60,62,70,58,65,57,65,67,60,61,63,69,66,65,72,58,70,0
76,63,67,55,53,57,58,60,60,63,71,58,66,57,65,67,59,60,63,69,66,64,72,58,68,0
76,63,67,54,53,57,58,60,60,64,71,63,66,57,65,67,59,60,59,68,66,61,72,59,68,0
76,63,67,54,53,58,58,60,60,64,71,63,66,57,64,67,59,60,63,67,66,61,72,61,68,0
76,64,0,54,54,58,58,60,60,64,71,63,66,57,64,67,59,60,62,67,66,61,73,59,68,253
76,66,0,54,54,58,58,60,61,65,71,63,66,57,64,67,59,60,63,67,66,60,72,61,68,1
71,67,0,54,55,58,58,59,61,65,70,63,66,60,64,66,59,60,63,67,66,60,73,61,66,0
71,67,66,54,55,58,58,59,61,65,67,63,61,60,63,66,60,61,63,67,67,58,72,59,66,0
