# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,72,24,0,402,0,0,95
24000,1,64,22,-10,405,0,0,95
47000,2,56,10,0,392,0,0,95
70000,3,57,14,-10,374,0,0,95
93000,4,53,15,0,375,0,0,95
116000,5,57,17,0,384,0,0,95
138000,6,58,16,0,387,0,0,95
161000,7,59,15,0,389,0,0,95
183000,8,59,14,0,390,0,0,95
206000,9,62,12,0,400,0,0,95
228000,10,66,13,0,417,0,0,95
251000,11,60,12,0,392,0,0,95
273000,12,62,16,0,389,0,0,95
296000,13,59,15,0,380,0,0,95
318000,14,62,15,0,393,0,0,95
341000,15,63,16,-10,402,0,0,95
363000,16,61,13,-10,384,0,0,95
386000,17,61,18,-10,394,0,0,95
408000,18,63,15,0,392,0,0,95
431000,19,66,16,-10,407,0,0,95
453000,20,65,19,-10,396,0,0,95
476000,21,67,16,-10,388,0,0,95
498000,22,66,16,-10,412,0,0,95
521000,23,63,16,-10,384,0,0,95
543000,24,65,16,-10,407,0,0,95
566000,25,67,15,-20,409,0,0,95
