# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,86,17,0,421,134,26,95
24000,1,92,22,0,427,100,18,95
46000,2,87,21,10,397,171,26,95
69000,3,99,25,10,436,174,42,95
91000,4,107,27,0,430,126,26,95
114000,5,101,25,10,395,174,56,95
136000,6,108,27,0,423,167,38,95
159000,7,113,24,-10,406,55,26,85
182000,8,110,28,-10,396,174,48,95
205000,9,115,30,0,399,167,30,95
227000,10,109,28,-10,387,167,44,95
250000,11,114,29,0,402,171,48,95
272000,12,117,28,0,407,121,24,95
295000,13,110,28,0,390,175,62,95
317000,14,114,28,10,388,169,34,95
340000,15,109,27,10,380,0,0,95
362000,16,83,25,20,339,0,0,95
385000,17,71,22,20,343,0,0,95
407000,18,60,20,30,333,0,0,95
430000,19,61,21,30,365,0,0,95
452000,20,62,21,30,359,0,0,95
475000,21,60,21,40,354,0,0,95
497000,22,71,22,-10,390,0,0,95
520000,23,61,20,20,375,0,0,95
542000,24,68,17,20,383,0,0,95
565000,25,67,14,20,370,0,0,95
587000,26,65,15,20,381,0,0,95
610000,27,66,17,20,367,0,0,95
632000,28,64,17,20,372,0,0,95
655000,29,64,15,20,376,0,0,95
677000,30,69,14,20,374,0,0,95
699000,31,64,12,20,379,0,0,95
722000,32,67,15,20,369,0,0,95
744000,33,63,14,20,367,0,0,95
767000,34,62,17,20,367,0,0,95
789000,35,63,17,20,372,0,0,95
812000,36,64,14,20,375,0,0,95
834000,37,73,18,20,396,0,0,95
857000,38,77,18,10,403,174,0,95
879000,39,69,18,10,368,0,0,95
902000,40,68,18,10,389,0,0,95
924000,41,71,17,10,389,0,0,95
