# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,0,23,0,407,105,20,50
23000,1,76,12,10,385,107,26,95
46000,2,78,17,10,400,182,40,95
68000,3,102,19,10,456,169,38,95
91000,4,111,26,0,434,88,24,95
113000,5,112,27,0,404,176,58,95
136000,6,118,29,20,416,160,40,95
158000,7,107,29,20,376,66,14,95
181000,8,108,31,10,401,171,54,95
203000,9,111,31,10,401,169,36,95
226000,10,101,28,0,402,176,44,95
248000,11,112,26,10,410,169,36,95
272000,12,116,27,10,424,135,30,95
294000,13,119,29,0,416,175,48,95
317000,14,119,32,20,439,167,36,95
339000,15,113,30,20,382,143,10,95
362000,16,86,28,20,345,0,0,95
384000,17,74,26,20,330,0,0,95
407000,18,71,25,40,353,122,10,95
429000,19,80,25,20,395,120,30,95
451000,20,83,21,30,394,114,24,95
474000,21,78,19,30,377,0,0,95
496000,22,71,18,20,378,0,0,95
520000,23,71,17,20,375,0,0,95
542000,24,69,17,30,368,0,0,95
565000,25,67,15,20,372,0,0,95
587000,26,66,18,20,379,0,0,95
610000,27,68,18,20,375,0,0,95
632000,28,67,18,30,369,0,0,95
655000,29,67,19,20,387,0,0,95
677000,30,71,17,20,380,0,0,95
700000,31,68,19,20,383,0,0,95
722000,32,70,20,20,385,8,10,95
744000,33,69,17,20,383,0,0,95
767000,34,66,17,20,373,0,0,95
789000,35,65,17,20,376,0,0,95
812000,36,66,18,20,378,0,0,95
834000,37,66,14,20,382,0,0,95
857000,38,72,15,10,395,0,0,95
879000,39,76,15,10,412,0,0,95
902000,40,65,14,10,368,0,0,95
924000,41,71,15,0,428,171,18,95
