# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,77,16,10,392,87,20,95
23000,1,77,14,0,392,91,18,95
45000,2,78,11,0,393,109,26,95
67000,3,96,14,10,447,174,44,95
90000,4,109,23,0,446,162,24,95
112000,5,107,22,0,403,173,54,95
135000,6,111,24,10,407,174,28,95
157000,7,112,27,0,404,89,14,95
180000,8,109,27,0,393,171,48,95
202000,9,114,29,20,410,169,28,95
225000,10,102,29,10,371,182,50,95
247000,11,109,30,10,415,169,40,95
270000,12,114,30,0,410,150,36,95
293000,13,110,30,20,409,174,52,85
316000,14,113,30,0,407,169,28,95
339000,15,112,29,0,393,53,14,95
361000,16,101,26,0,364,32,10,95
384000,17,85,24,20,354,190,20,95
406000,18,74,22,30,334,0,0,95
429000,19,65,21,40,350,0,0,95
451000,20,64,19,40,354,0,0,95
474000,21,69,19,10,378,0,0,95
496000,22,64,19,30,372,0,0,95
519000,23,69,22,30,373,0,0,95
541000,24,66,21,30,371,0,0,95
564000,25,66,21,20,375,0,0,95
586000,26,74,21,20,389,0,0,95
609000,27,67,21,30,370,0,0,95
631000,28,67,19,30,375,0,0,95
654000,29,68,17,20,373,0,0,95
676000,30,64,17,30,362,0,0,95
699000,31,62,19,20,362,0,0,95
721000,32,62,18,20,368,0,0,95
744000,33,66,18,20,376,0,0,95
766000,34,67,18,10,383,0,0,95
789000,35,68,15,20,385,0,0,95
811000,36,68,15,20,376,0,0,95
834000,37,68,13,10,387,167,14,95
856000,38,63,17,10,392,110,0,95
879000,39,67,16,30,363,0,0,95
901000,40,64,17,20,366,0,0,95
924000,41,66,19,20,375,0,0,95
946000,42,71,19,20,385,0,0,95
968000,43,68,19,20,384,170,4,95
991000,44,68,19,20,376,0,0,95
1013000,45,64,19,20,368,0,0,95
