# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,108,25,0,444,82,6,95
23000,1,115,22,0,452,171,106,95
46000,2,147,24,10,505,160,66,95
68000,3,146,39,-10,458,47,6,95
91000,4,137,38,-10,426,171,84,95
113000,5,153,39,0,490,158,60,95
136000,6,144,36,0,430,174,72,95
158000,7,147,37,0,455,166,74,95
181000,8,155,38,0,471,20,8,95
203000,9,139,37,0,413,167,102,95
226000,10,155,38,30,490,159,80,95
248000,11,157,40,0,464,0,0,95
271000,12,150,40,0,442,171,92,95
294000,13,158,40,20,495,152,46,95
316000,14,148,38,10,421,85,10,95
339000,15,123,36,0,397,0,0,95
361000,16,111,34,10,393,153,2,95
384000,17,106,33,20,387,0,0,95
406000,18,104,30,20,403,0,0,95
429000,19,108,33,20,419,0,0,95
451000,20,102,28,20,406,0,0,95
474000,21,101,28,10,410,0,0,95
496000,22,99,27,10,413,0,0,95
519000,23,101,27,10,418,0,0,95
541000,24,100,26,10,410,0,0,95
564000,25,96,27,10,415,214,0,95
586000,26,95,23,10,415,0,0,95
609000,27,89,23,10,407,0,0,95
631000,28,90,23,10,414,0,0,95
654000,29,86,20,0,407,0,0,95
676000,30,85,20,10,412,0,0,95
699000,31,87,22,0,414,0,0,95
721000,32,85,18,0,406,0,0,95
744000,33,81,17,10,398,0,0,95
766000,34,79,16,10,405,0,0,95
789000,35,81,16,10,412,0,0,95
811000,36,86,17,10,417,0,0,95
834000,37,84,16,20,408,0,0,95
856000,38,88,18,10,419,0,0,95
879000,39,86,18,10,412,0,0,95
901000,40,93,18,0,417,0,0,95
924000,41,84,16,0,403,0,0,95
