# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,19,104,-25,0,0,0,44177,0,22,33,0,95,444,25,108,0,82,6
23000,1,44,120,-25,0,0,0,44177,0,12,35,0,95,452,22,115,0,171,106
46000,2,41,151,6,0,0,0,44177,0,4,32,0,95,505,24,147,10,160,66
68000,3,34,145,-35,0,0,0,44177,0,3,32,0,95,458,39,146,-10,47,6
91000,4,38,138,-29,0,0,0,44177,0,5,33,0,95,426,38,137,-10,171,84
113000,5,34,155,-2,0,0,0,44177,0,3,33,0,95,490,39,153,0,158,60
136000,6,28,141,-30,0,0,0,44177,0,3,32,0,95,430,36,144,0,174,72
158000,7,25,150,-5,0,0,0,44177,0,3,34,0,95,455,37,147,0,166,74
181000,8,28,157,-4,0,0,0,44177,0,3,31,0,95,471,38,155,0,20,8
203000,9,35,138,-10,0,0,0,44177,0,5,32,0,95,413,37,139,0,167,102
226000,10,37,156,25,0,0,0,44177,0,3,34,0,95,490,38,155,30,159,80
248000,11,32,154,-11,0,0,0,44177,0,2,32,0,95,464,40,157,0,0,0
271000,12,31,150,1,0,0,0,44177,0,5,32,0,95,442,40,150,0,171,92
294000,13,37,158,22,0,0,0,44177,0,2,33,0,95,495,40,158,20,152,46
316000,14,29,144,-4,0,0,0,44177,0,5,33,0,95,421,38,148,10,85,10
339000,15,26,120,-26,0,0,0,44177,0,32,35,0,95,397,36,123,0,0,0
361000,16,28,109,-4,0,0,0,44177,0,28,35,0,95,393,34,111,10,153,2
384000,17,23,102,3,0,0,0,44177,0,34,35,0,95,387,33,106,20,0,0
406000,18,22,105,-8,0,0,0,44177,0,25,33,0,95,403,30,104,20,0,0
429000,19,28,108,4,0,0,0,44177,0,8,33,0,95,419,33,108,20,0,0
451000,20,28,102,7,0,0,0,44177,0,25,35,0,95,406,28,102,20,0,0
474000,21,22,98,-3,0,0,0,44177,0,28,34,0,95,410,28,101,10,0,0
496000,22,28,99,1,0,0,0,44177,0,47,33,0,95,413,27,99,10,0,0
519000,23,28,103,-3,0,0,0,44177,0,19,34,0,95,418,27,101,10,0,0
541000,24,22,99,-2,0,0,0,44177,0,24,34,0,95,410,26,100,10,0,0
564000,25,25,96,-5,0,0,0,44177,0,18,33,0,95,415,27,96,10,214,0
586000,26,20,96,-8,0,0,0,44177,0,25,32,0,95,415,23,95,10,0,0
609000,27,16,88,-5,0,0,0,44177,0,15,35,0,95,407,23,89,10,0,0
631000,28,20,91,-8,0,0,0,44177,0,45,33,0,95,414,23,90,10,0,0
654000,29,16,85,-12,0,0,0,44177,0,30,35,0,95,407,20,86,0,0,0
676000,30,16,86,-7,0,0,0,44177,0,32,34,0,95,412,20,85,10,0,0
699000,31,21,87,-11,0,0,0,44177,0,14,35,0,95,414,22,87,0,0,0
721000,32,15,83,-9,0,0,0,44177,0,15,33,0,95,406,18,85,0,0,0
744000,33,21,81,-8,0,0,0,44177,0,25,34,0,95,398,17,81,10,0,0
766000,34,15,79,-6,0,0,0,44177,0,33,33,0,95,405,16,79,10,0,0
789000,35,11,82,-11,0,0,0,44177,0,31,35,0,95,412,16,81,10,0,0
811000,36,20,88,-7,0,0,0,44177,0,35,34,0,95,417,17,86,10,0,0
834000,37,12,84,4,0,0,0,44177,0,35,36,0,95,408,16,84,20,0,0
856000,38,13,89,-4,0,0,0,44177,0,34,34,0,95,419,18,88,10,0,0
879000,39,19,86,-1,0,0,0,44177,0,16,35,0,95,412,18,86,10,0,0
901000,40,16,91,-12,0,0,0,44177,0,11,34,0,95,417,18,93,0,0,0
924000,41,12,82,-11,0,0,0,44177,0,30,34,0,95,403,16,84,0,0,0
