# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,26,94,-27,0,0,0,44177,0,37,33,0,95,460,23,92,-10,103,8
23000,1,17,88,-36,0,0,0,44177,0,39,31,0,95,428,18,88,-10,0,0
46000,2,21,95,20,0,0,0,44177,0,40,33,0,95,445,23,91,-10,211,108
68000,3,0,0,0,0,0,0,44177,0,13,0,0,95,465,25,125,0,171,118
91000,4,31,129,-51,0,0,0,44177,0,3,32,0,95,440,27,128,-20,0,0
114000,5,25,123,-49,0,0,0,44177,0,40,33,0,95,425,27,119,0,197,108
137000,6,29,138,-40,0,0,0,44177,0,38,31,0,95,450,29,134,-10,164,94
160000,7,29,129,-63,0,0,0,44177,0,4,31,0,95,411,29,130,-20,99,10
182000,8,34,136,-14,0,0,0,44177,0,18,34,0,95,422,32,128,-10,179,136
205000,9,30,137,-38,0,0,0,44177,0,2,31,0,95,422,33,137,-10,87,26
227000,10,25,126,-50,0,0,0,44177,0,5,32,0,95,407,32,126,-10,207,136
250000,11,32,140,-18,0,0,0,44177,0,38,34,0,95,436,35,136,0,174,120
272000,12,28,136,-51,0,0,0,44177,0,2,33,0,95,422,34,137,-10,74,10
295000,13,32,128,-56,0,0,0,44177,0,12,33,0,95,411,33,128,-20,194,126
317000,14,36,139,-22,0,0,0,44177,0,3,33,0,95,438,36,138,0,167,76
340000,15,31,143,-39,0,0,0,44177,0,3,32,0,95,421,38,143,0,197,44
362000,16,29,124,-63,0,0,0,44177,0,4,33,0,95,398,35,129,-20,127,4
385000,17,25,105,-64,0,0,0,44177,0,26,34,0,95,382,33,109,0,101,4
408000,18,10,69,-55,0,0,0,44177,0,77,36,0,95,338,31,89,0,0,0
430000,19,17,65,-35,0,0,0,44177,0,113,33,0,95,347,28,69,0,0,0
453000,20,12,75,-34,0,0,0,44177,0,139,34,0,95,393,29,62,-10,0,0
475000,21,7,84,-34,0,0,0,44177,0,71,33,0,95,417,29,82,-10,0,0
498000,22,14,89,-30,0,0,0,44177,0,14,32,0,95,419,30,90,0,0,0
520000,23,19,90,-31,0,0,0,44177,0,10,34,0,95,420,27,89,0,0,0
543000,24,12,85,-34,0,0,0,44177,0,13,33,0,95,409,25,87,0,0,0
565000,25,9,81,-30,0,0,0,44177,0,20,32,0,95,398,23,81,0,0,0
588000,26,16,85,-37,0,0,0,44177,0,19,32,0,95,409,24,83,0,0,0
610000,27,9,79,-32,0,0,0,44177,0,27,34,0,95,394,21,80,0,0,0
633000,28,3,80,-38,0,0,0,44177,0,18,34,0,95,408,19,81,0,0,0
655000,29,11,91,-33,0,0,0,44177,0,48,33,0,95,434,20,89,-10,0,0
678000,30,7,78,-45,0,0,0,44177,0,34,33,0,95,392,18,82,-10,0,0
700000,31,3,81,-37,0,0,0,44177,0,63,32,0,95,398,16,82,-10,0,0
723000,32,3,80,-36,0,0,0,44177,0,62,34,0,95,405,16,76,-10,0,0
745000,33,7,75,-36,0,0,0,44177,0,53,34,0,95,393,16,76,-10,0,0
768000,34,3,78,-35,0,0,0,44177,0,50,35,0,95,403,16,78,-10,0,0
790000,35,4,82,-38,0,0,0,44177,0,50,34,0,95,412,17,80,-10,0,0
813000,36,10,76,-39,0,0,0,44177,0,67,33,0,95,397,17,76,-10,0,0
835000,37,10,84,-36,0,0,0,44177,0,61,33,0,95,417,17,81,-10,0,0
858000,38,6,77,-38,0,0,0,44177,0,37,33,0,95,399,16,79,-10,0,0
880000,39,3,75,-40,0,0,0,44177,0,63,33,0,95,395,17,78,-10,0,0
903000,40,6,75,-44,0,0,0,44177,0,57,34,0,95,403,20,74,-10,0,0
925000,41,3,84,-18,0,0,0,44177,0,44,34,0,95,417,21,80,0,0,0
